variable,value
Time,229.74213480591195
GenPwr,3828.2424070164043
RotTorq,3251.0292259939
RotSpeed,11.90091729377583
RotThrust,585.9948694349703
B1RootMxr,640828.2551143232
B1RootMyr,7142217.259487846
B1TipTDxr,3.8175034648909096
BldPitch1,3.1028342176023678
