            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         149.394          494055          278021        -50333.3         607.414         367.745         65.4849     2.34301e+06     1.93908e+06          175640        0.012186         5.61185
         149.408          493190          277416        -50400.5         606.598         366.245         64.5849     2.33772e+06     1.92844e+06          208617         0.00621         5.59321
         149.421          492342          276833        -50463.6         605.712         364.924         63.6189     2.33234e+06     1.91837e+06          239322      0.00663786         5.59532
         149.435          491525          276284        -50520.9         604.741         363.789           62.59     2.32644e+06     1.90962e+06          266797      0.00804674         5.60948
         149.449          490766          275783        -50569.8         603.681         362.845         61.4947     2.31994e+06      1.9029e+06          290123       0.0138556          5.6239
         149.463          490062          275325        -50601.7         602.535         362.093          60.333     2.31247e+06     1.89915e+06          308957      0.00746786         5.63311
         149.477          489432          274921        -50623.3         601.311         361.531         59.1056     2.30485e+06     1.89728e+06          324349      0.00884661          5.5508
          149.49          488913          274620        -50646.9         600.025         361.161         57.8132     2.29877e+06     1.89554e+06          337411       0.0157443         5.53123
         149.504          488562          274471        -50688.9         598.703         360.983         56.4544     2.29732e+06      1.8901e+06          349322       0.0137631         5.54168
         149.518          488496          274594        -50779.2         597.397         361.015         55.0205     2.30636e+06     1.87452e+06          360377       0.0133377         5.54882
         149.532          488802          275078        -50927.7         596.189         361.292         53.5024     2.32945e+06       1.846e+06          368661      0.00884601         5.54762
         149.545          489508          275943        -51123.7         595.171         361.844         51.9017     2.36632e+06     1.80645e+06          371669      0.00528772         5.54498
         149.559          490504          277100        -51331.2         594.418         362.668         50.2404     2.41119e+06     1.76295e+06          368232       0.0115522          5.5415
         149.573          491721          278474        -51535.1         593.985         363.733         48.5561     2.45988e+06     1.71975e+06          358298       0.0115867         5.54157
         149.587          493087          279985        -51714.6          593.91         365.004         46.8868     2.50842e+06     1.68049e+06          341929       0.0132643         5.62322
         149.601          494535          281561          -51866         594.202         366.448         45.2632     2.55497e+06     1.64625e+06          320902       0.0163682         5.60607
         149.614          495917          283082        -51984.8         594.829         368.027          43.706     2.59763e+06      1.6168e+06          299720      0.00809891         5.56675
         149.628          497104          284462        -52087.8          595.72         369.692         42.2285     2.63514e+06     1.59056e+06          282849      0.00708383         5.52527
         149.642          498057          285654        -52171.9         596.777         371.394         40.8398     2.66568e+06     1.56851e+06          270502       0.0123449         5.52872
         149.656          498854          286680          -52230         597.921         373.095         39.5493     2.68799e+06      1.5543e+06          259086      0.00952384         5.53489
         149.669          499610          287575        -52239.4           599.1         374.771         38.3703      2.7019e+06      1.5498e+06          245337       0.0107608         5.52671
         149.683          500413          288409        -52198.3         600.272         376.408         37.3164     2.71031e+06       1.553e+06          228734      0.00917768         5.51978
         149.697          501230          289171          -52138         601.406         377.998         36.3967     2.71584e+06     1.56085e+06          210877       0.0104756         5.50483
         149.711          502062          289901        -52056.9         602.481         379.537         35.6155       2.721e+06     1.56938e+06          193635       0.0142685         5.50125
         149.725          502871          290590        -51976.1         603.487         381.019         34.9697     2.72688e+06     1.57698e+06          177951       0.0105029         5.50818
         149.738          503656          291243        -51897.5         604.436         382.438         34.4458     2.73368e+06     1.58276e+06          164017      0.00682508         5.53694
         149.752          504428          291886        -51825.2         605.343         383.792          34.015     2.74175e+06     1.58633e+06          151283       0.0155317         5.56559
         149.766          505204          292541        -51761.4         606.223         385.088         33.6359     2.75144e+06     1.58733e+06          139186       0.0083708          5.5995
          149.78          506001          293216        -51703.6         607.093          386.33         33.2683     2.76297e+06     1.58559e+06          127285       0.0151045         5.67034
         149.793          506809          293912        -51653.6         607.968          387.52          32.884     2.77613e+06     1.58168e+06          115492       0.0184016         5.84397
         149.807          507623          294619        -51606.5         608.848         388.656         32.4646     2.79073e+06     1.57583e+06          103669       0.0156106         5.85908
         149.821          508436          295338        -51563.4         609.745         389.733         32.0022     2.80659e+06     1.56829e+06         91686.3       0.0208615         5.92758
         149.835          509260          296074        -51525.1         610.672         390.742         31.4964     2.82372e+06     1.55886e+06         79358.2       0.0165908         5.94445
         149.848          510093          296822          -51488          611.64         391.679         30.9541     2.84222e+06     1.54758e+06         66461.7       0.0102955         5.95624
         149.862          510946          297597          -51453         612.664         392.542         30.3882     2.86237e+06     1.53416e+06           52684      0.00584409         5.96444
         149.876          511823          298402        -51419.6         613.753         393.323          29.816     2.88447e+06     1.51839e+06         37761.2      0.00613818         5.96721
          149.89          512745          299248        -51385.6         614.911         394.022         29.2506      2.9089e+06     1.49999e+06         21245.3       0.0102918         5.96565
         149.904          513714          300147        -51356.4         616.151         394.643         28.7015      2.9356e+06       1.479e+06          2990.9       0.0126683          5.9586
         149.917          514717          301081        -51326.9         617.482         395.194         28.1791     2.96405e+06     1.45642e+06          -16764       0.0113527         5.94633
         149.931          515723          302014        -51300.6         618.907         395.675         27.6856     2.99279e+06     1.43335e+06          -37310       0.0151184         5.93257
         149.945          516682          302902        -51278.1         620.412         396.072          27.215     3.02046e+06      1.4113e+06        -57863.9       0.0137376         5.94403
         149.959          517576          303716        -51257.3         621.971         396.375         26.7567     3.04581e+06      1.3909e+06        -77473.3       0.0101085         5.95277
         149.972          518407          304452        -51240.3         623.562          396.57         26.2963     3.06868e+06     1.37247e+06        -95904.2       0.0074117          5.9532
         149.986          519180          305114        -51222.5         625.149         396.656         25.8284      3.0894e+06      1.3556e+06         -113245       0.0169887         5.89164
             150          519912          305721        -51207.6         626.704         396.638         25.3581     3.10862e+06     1.34032e+06         -129525       0.0166616         5.89965
         150.014          520602          306276        -51202.3          628.21         396.531         24.8955     3.12617e+06     1.32637e+06         -144707       0.0123516         5.89576
