rpts,Alpha,Phi,Cl,Cd,Fx,Fy
0.000000000000000,64.813217022009241,80.786959166690593,0.000000000000000,0.500000000000000,102.465287956612798,-16.611670606387563
1.366700000000000,56.899945479066830,72.873797813423622,0.000000000000000,0.500000000000000,100.464748486326727,-31.001892794628251
4.100000000000000,43.651027002209531,59.624764268702123,0.000000000000000,0.500000000000000,120.969473155614224,-71.304445751671508
6.833300000000000,30.156384688226353,46.130131424144167,0.000000000000000,0.350000000000000,101.747057878274845,-98.489592527762625
10.250000000000000,14.858019598840713,30.832005222531496,1.587928887486011,0.191891877241815,1027.535897730207580,464.857140807483688
14.350000000000000,8.562909409165256,22.710861143791789,1.311055829435565,0.013842224741026,1420.473098223765646,583.490771614680398
18.449999999999999,6.470304858102097,19.305564578610575,1.064728689488938,0.011351821515682,1646.645146202186424,563.183244856380384
22.550000000000001,4.918727148555195,16.613328072541538,0.932550928290625,0.009760293064363,1912.374532985164478,554.607354586932274
26.649999999999999,3.533117895147637,14.028917501219548,0.891462799506442,0.007256150793423,2312.279942035639579,563.230620677781303
30.750000000000000,3.539387306952854,12.809586731326579,0.892200631295016,0.007262382220437,2786.610060546930981,615.221036471634761
34.850000000000001,2.708098809931418,10.829835031134325,0.850608376137048,0.006314176016528,3125.867571522855542,579.099658526787039
38.950000000000003,2.751467781284972,9.743960285804471,0.855724224511464,0.006332531521708,3589.896123274699221,593.779445608195260
43.049999999999997,3.016829596258142,8.998256104909752,0.785644210737754,0.005375833854630,3665.315733593503865,558.423857212545499
47.149999999999999,2.924145708628656,8.157228729662256,0.775109323079572,0.005366581566186,3937.974030818674237,539.799532267783775
51.250000000000000,3.098211311658871,7.597405262704813,0.794661132313696,0.005419017159746,4297.170564435134111,546.154681626445495
54.666699999999999,2.736969938879164,6.619228930528852,0.753772641969640,0.005356924961979,4236.899997130476550,463.537346839220618
57.399999999999999,3.098223472696490,6.518612298774713,0.794481414100835,0.005443611954432,4419.771241642514724,476.602002926913258
60.133299999999998,3.903510000286952,7.082538293781743,0.883695282504519,0.005804569628971,3650.629831559012018,431.227877413986107
61.499899999999997,4.407091796034320,7.593166747969811,0.937351246807656,0.006238111280094,4036.559556945680015,513.299822089586542
