a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
630.0,0.0,2035.1192008768394,1644.7615982463215,90.0,10.06068335763003,5.437129996642669,-0.01735813330499594
630.0,1.0,2034.6192008768394,1645.627623650106,90.0,10.06069605687131,5.435908296177732,-0.018263746275327834
630.0,2.0,2034.1192008768394,1646.4936490538903,90.0,10.060708756112591,5.434686595712794,-0.01916935924565973
630.0,3.0,2033.6192008768394,1647.3596744576748,90.0,10.060721455353873,5.433464895247856,-0.020074972215991624
630.0,4.0,2033.1192008768394,1648.2256998614591,90.0,10.060734154595153,5.432243194782918,-0.020980585186323522
630.0,5.0,2032.6192008768394,1649.0917252652437,90.0,10.060746853836434,5.4310214943179815,-0.021886198156655417
630.0,6.0,2032.1192008768394,1649.957750669028,90.0,10.060759553077716,5.429799793853043,-0.02279181112698731
630.0,7.0,2031.6192008768394,1650.8237760728125,90.0,10.061266949039767,5.4297825550489165,-0.02502530338810862
630.0,8.0,2031.1192008768394,1651.689801476597,90.0,10.061986357882152,5.430281514099425,-0.02782788677385411
630.0,9.0,2030.6192008768394,1652.5558268803813,90.0,10.062705766724534,5.430780473149933,-0.03063047015959959
630.0,10.0,2030.1192008768394,1653.4218522841659,90.0,10.063425175566916,5.431279432200441,-0.03343305354534507
630.0,11.0,2029.6192008768394,1654.2878776879502,90.0,10.064144584409298,5.4317783912509485,-0.036235636931090554
630.0,12.0,2029.1192008768394,1655.1539030917347,90.0,10.06486399325168,5.432277350301456,-0.03903822031683604
630.0,13.0,2028.6192008768394,1656.0199284955193,90.0,10.06512635108412,5.432759311849436,-0.04135108273290641
630.0,14.0,2028.1192008768394,1656.8859538993036,90.0,10.06470313240164,5.433215777143621,-0.042929363694464165
630.0,15.0,2027.6192008768394,1657.751979303088,90.0,10.064279913719158,5.433672242437808,-0.044507644656021916
630.0,16.0,2027.1192008768394,1658.6180047068724,90.0,10.06385669503668,5.434128707731993,-0.04608592561757967
630.0,17.0,2026.6192008768394,1659.484030110657,90.0,10.063433476354199,5.434585173026179,-0.047664206579137405
630.0,18.0,2026.1192008768394,1660.3500555144415,90.0,10.063010257671717,5.4350416383203655,-0.04924248754069516
630.0,19.0,2025.6192008768394,1661.2160809182258,90.0,10.062762714708834,5.435486311305034,-0.05088518658659857
630.0,20.0,2025.1192008768394,1662.0821063220103,90.0,10.064096253222305,5.435824853504043,-0.053107648391613124
630.0,21.0,2024.6192008768394,1662.9481317257946,90.0,10.065429791735777,5.436163395703051,-0.05533011019662769
630.0,22.0,2024.1192008768394,1663.8141571295791,90.0,10.06676333024925,5.436501937902061,-0.05755257200164225
630.0,23.0,2023.6192008768394,1664.6801825333634,90.0,10.068096868762721,5.436840480101069,-0.05977503380665681
630.0,24.0,2023.1192008768394,1665.546207937148,90.0,10.069430407276194,5.437179022300079,-0.06199749561167137
630.0,25.0,2022.6192008768394,1666.4122333409325,90.0,10.070763945789666,5.437517564499086,-0.06421995741668593
630.0,26.0,2022.1192008768394,1667.2782587447168,90.0,10.069600067389674,5.436738005510892,-0.06683017885667358
630.0,27.0,2021.6192008768394,1668.1442841485014,90.0,10.067811834761313,5.435678921225898,-0.0695373402054045
630.0,28.0,2021.1192008768394,1669.0103095522857,90.0,10.066023602132955,5.434619836940904,-0.07224450155413542
630.0,29.0,2020.6192008768394,1669.8763349560702,90.0,10.064235369504596,5.433560752655909,-0.07495166290286633
630.0,30.0,2020.1192008768394,1670.7423603598545,90.0,10.062447136876237,5.432501668370914,-0.07765882425159723
630.0,31.0,2019.6192008768394,1671.608385763639,90.0,10.060658904247877,5.43144258408592,-0.08036598560032815
630.0,32.0,2019.1192008768394,1672.4744111674236,90.0,10.058190144534116,5.430257951047253,-0.08286873594218776
630.0,33.0,2018.6192008768394,1673.3404365712079,90.0,10.055040857734951,5.428947769254912,-0.08516707527717604
630.0,34.0,2018.1192008768394,1674.2064619749924,90.0,10.051891570935787,5.427637587462572,-0.08746541461216431
630.0,35.0,2017.6192008768394,1675.0724873787767,90.0,10.048742284136623,5.426327405670232,-0.0897637539471526
630.0,36.0,2017.1192008768394,1675.9385127825612,90.0,10.04559299733746,5.425017223877892,-0.09206209328214088
630.0,37.0,2016.6192008768394,1676.8045381863458,90.0,10.042443710538295,5.423707042085551,-0.09436043261712916
630.0,38.0,2016.1192008768394,1677.67056359013,90.0,10.039556469111703,5.4223163541130015,-0.09660082323945601
630.0,39.0,2015.6192008768394,1678.5365889939146,90.0,10.037717409175402,5.420603641419611,-0.098609419011137
630.0,40.0,2015.1192008768394,1679.402614397699,90.0,10.0358783492391,5.41889092872622,-0.10061801478281798
630.0,41.0,2014.6192008768394,1680.2686398014835,90.0,10.0340392893028,5.417178216032829,-0.10262661055449898
630.0,42.0,2014.1192008768394,1681.134665205268,90.0,10.032200229366499,5.415465503339439,-0.10463520632617998
630.0,43.0,2013.6192008768394,1682.0006906090523,90.0,10.030361169430197,5.413752790646049,-0.10664380209786097
