a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
1008.0,0.0,2362.476803507357,1833.7615982463215,90.0,9.978863043832861,5.482852702704108,-0.044916290341721905
1008.0,1.0,2361.976803507357,1834.627623650106,90.0,9.984290664233987,5.483115208808095,-0.04698460877430666
1008.0,2.0,2361.476803507357,1835.4936490538903,90.0,9.989718284635112,5.483377714912082,-0.0490529272068914
1008.0,3.0,2360.976803507357,1836.3596744576748,90.0,9.995145905036237,5.483640221016069,-0.05112124563947616
1008.0,4.0,2360.476803507357,1837.2256998614591,90.0,10.000573525437362,5.483902727120057,-0.05318956407206091
1008.0,5.0,2359.976803507357,1838.0917252652437,90.0,10.00600114583849,5.484165233224044,-0.05525788250464567
1008.0,6.0,2359.476803507357,1838.957750669028,90.0,10.011428766239613,5.484427739328031,-0.05732620093723041
1008.0,7.0,2358.976803507357,1839.8237760728125,90.0,10.017353993656581,5.485411189878828,-0.05901438906658403
1008.0,8.0,2358.476803507357,1840.689801476597,90.0,10.023492481223197,5.486703616621117,-0.06053966420883854
1008.0,9.0,2357.976803507357,1841.5558268803813,90.0,10.029630968789814,5.487996043363406,-0.06206493935109305
1008.0,10.0,2357.476803507357,1842.4218522841659,90.0,10.035769456356428,5.489288470105693,-0.06359021449334756
1008.0,11.0,2356.976803507357,1843.2878776879502,90.0,10.041907943923043,5.490580896847981,-0.06511548963560207
1008.0,12.0,2356.476803507357,1844.1539030917347,90.0,10.04804643148966,5.49187332359027,-0.06664076477785659
1008.0,13.0,2355.976803507357,1845.0199284955193,90.0,10.052546999110419,5.493236925464709,-0.06771688247210741
1008.0,14.0,2355.476803507357,1845.8859538993036,90.0,10.054590686812396,5.494707290037374,-0.06811926399435282
1008.0,15.0,2354.976803507357,1846.751979303088,90.0,10.056634374514372,5.496177654610037,-0.0685216455165982
1008.0,16.0,2354.476803507357,1847.6180047068724,90.0,10.058678062216348,5.4976480191827015,-0.06892402703884358
1008.0,17.0,2353.976803507357,1848.484030110657,90.0,10.060721749918324,5.499118383755365,-0.06932640856108896
1008.0,18.0,2353.476803507357,1849.3500555144415,90.0,10.062765437620302,5.500588748328029,-0.06972879008333435
1008.0,19.0,2352.976803507357,1850.2160809182258,90.0,10.064707954161369,5.5020688479845,-0.0701268219295431
1008.0,20.0,2352.476803507357,1851.0821063220103,90.0,10.065739930254269,5.503636563395226,-0.07048570669142214
1008.0,21.0,2351.976803507357,1851.9481317257946,90.0,10.06677190634717,5.505204278805953,-0.07084459145330119
1008.0,22.0,2351.476803507357,1852.8141571295791,90.0,10.067803882440073,5.506771994216679,-0.07120347621518024
1008.0,23.0,2350.976803507357,1853.6801825333634,90.0,10.068835858532973,5.508339709627405,-0.07156236097705927
1008.0,24.0,2350.476803507357,1854.546207937148,90.0,10.069867834625873,5.509907425038131,-0.07192124573893831
1008.0,25.0,2349.976803507357,1855.4122333409325,90.0,10.070899810718775,5.511475140448858,-0.07228013050081736
1008.0,26.0,2349.476803507357,1856.2782587447168,90.0,10.071418058747385,5.512806316767083,-0.07378269019568583
1008.0,27.0,2348.976803507357,1857.1442841485014,90.0,10.071807874759923,5.514078358312182,-0.07557116862380162
1008.0,28.0,2348.476803507357,1858.0103095522857,90.0,10.072197690772462,5.515350399857283,-0.07735964705191742
1008.0,29.0,2347.976803507357,1858.8763349560702,90.0,10.072587506785,5.516622441402382,-0.0791481254800332
1008.0,30.0,2347.476803507357,1859.7423603598545,90.0,10.07297732279754,5.517894482947481,-0.08093660390814898
1008.0,31.0,2346.976803507357,1860.608385763639,90.0,10.073367138810077,5.519166524492581,-0.08272508233626477
1008.0,32.0,2346.476803507357,1861.4744111674236,90.0,10.07187863067129,5.519947924512567,-0.08445949536127012
1008.0,33.0,2345.976803507357,1862.3404365712079,90.0,10.068511798381175,5.520238683007442,-0.08613984298316502
1008.0,34.0,2345.476803507357,1863.2064619749924,90.0,10.065144966091061,5.520529441502315,-0.0878201906050599
1008.0,35.0,2344.976803507357,1864.0724873787767,90.0,10.061778133800946,5.520820199997189,-0.0895005382269548
1008.0,36.0,2344.476803507357,1864.9385127825612,90.0,10.058411301510832,5.521110958492063,-0.09118088584884969
1008.0,37.0,2343.976803507357,1865.8045381863458,90.0,10.055044469220718,5.5214017169869365,-0.09286123347074458
1008.0,38.0,2343.476803507357,1866.67056359013,90.0,10.050658073786467,5.521294587230158,-0.09401632678598824
1008.0,39.0,2342.976803507357,1867.5365889939146,90.0,10.04219342577567,5.519595904466776,-0.09307040287462603
1008.0,40.0,2342.476803507357,1868.402614397699,90.0,10.033728777764871,5.517897221703393,-0.0921244789632638
1008.0,41.0,2341.976803507357,1869.2686398014835,90.0,10.025264129754074,5.51619853894001,-0.09117855505190157
1008.0,42.0,2341.476803507357,1870.134665205268,90.0,10.016799481743275,5.514499856176627,-0.09023263114053937
1008.0,43.0,2340.976803507357,1871.0006906090523,90.0,10.008334833732476,5.512801173413245,-0.08928670722917713
1008.0,44.0,2340.476803507357,1871.8667160128368,90.0,9.99987018572168,5.511102490649862,-0.0883407833178149
1008.0,45.0,2339.976803507357,1872.7327414166211,90.0,9.986970538152312,5.508620816191828,-0.08167179378861353
1008.0,46.0,2339.476803507357,1873.5987668204057,90.0,9.973578112854216,5.5060521426566105,-0.07436690807965213
1008.0,47.0,2338.976803507357,1874.46479222419,90.0,9.96018568755612,5.503483469121393,-0.06706202237069074
1008.0,48.0,2338.476803507357,1875.3308176279745,90.0,9.946793262258023,5.5009147955861755,-0.059757136661729354
1008.0,49.0,2337.976803507357,1876.196843031759,90.0,9.933400836959928,5.498346122050958,-0.05245225095276796
1008.0,50.0,2337.476803507357,1877.0628684355434,90.0,9.920008411661831,5.4957774485157405,-0.04514736524380657
1008.0,51.0,2336.976803507357,1877.9288938393279,90.0,9.908669299924917,5.493860383965423,-0.03846058214105695
1008.0,52.0,2336.476803507357,1878.7949192431122,90.0,9.89869906389546,5.492377725405038,-0.03218586744244864
1008.0,53.0,2335.976803507357,1879.6609446468967,90.0,9.888728827866,5.490895066844652,-0.025911152743840316
1008.0,54.0,2335.476803507357,1880.526970050681,90.0,9.878758591836542,5.489412408284267,-0.019636438045231994
1008.0,55.0,2334.976803507357,1881.3929954544656,90.0,9.868788355807084,5.487929749723881,-0.013361723346623677
1008.0,56.0,2334.476803507357,1882.25902085825,90.0,9.858818119777627,5.4864470911634955,-0.007087008648015357
1008.0,57.0,2333.976803507357,1883.1250462620344,90.0,9.849778659231387,5.485688598880078,-0.0014955807896730505
1008.0,58.0,2333.476803507357,1883.991071665819,90.0,9.84291100814599,5.486619827909587,0.0025015111080485394
1008.0,59.0,2332.976803507357,1884.8570970696032,90.0,9.836043357060593,5.487551056939097,0.006498603005770131
1008.0,60.0,2332.476803507357,1885.7231224733878,90.0,9.8291757059752,5.488482285968606,0.01049569490349172
1008.0,61.0,2331.976803507357,1886.5891478771723,90.0,9.822308054889803,5.489413514998116,0.014492786801213312
1008.0,62.0,2331.476803507357,1887.4551732809566,90.0,9.815440403804406,5.490344744027626,0.0184898786989349
1008.0,63.0,2330.976803507357,1888.3211986847411,90.0,9.80857275271901,5.491275973057135,0.022486970596656494
1008.0,64.0,2330.476803507357,1889.1872240885255,90.0,9.806163846344385,5.496753172331202,0.023549760295799686
1008.0,65.0,2329.976803507357,1890.05324949231,90.0,9.803754939969757,5.502230371605269,0.024612549994942716
1008.0,66.0,2329.476803507357,1890.9192748960945,90.0,9.801346033595129,5.507707570879337,0.025675339694085746
1008.0,67.0,2328.976803507357,1891.7853002998788,90.0,9.798937127220503,5.513184770153405,0.026738129393228775
1008.0,68.0,2328.476803507357,1892.6513257036634,90.0,9.796528220845875,5.518661969427472,0.02780091909237181
1008.0,69.0,2327.976803507357,1893.5173511074477,90.0,9.79411931447125,5.52413916870154,0.028863708791514838
1008.0,70.0,2327.476803507357,1894.3833765112322,90.0,9.79273716271103,5.529672463755616,0.027699066156165894
1008.0,71.0,2326.976803507357,1895.2494019150165,90.0,9.791795048642696,5.535229799858269,0.025579809663177102
1008.0,72.0,2326.476803507357,1896.115427318801,90.0,9.790852934574364,5.540787135960922,0.023460553170188306
1008.0,73.0,2325.976803507357,1896.9814527225856,90.0,9.78991082050603,5.546344472063575,0.021341296677199514
1008.0,74.0,2325.476803507357,1897.8474781263699,90.0,9.788968706437698,5.551901808166228,0.019222040184210722
1008.0,75.0,2324.976803507357,1898.7135035301544,90.0,9.788026592369366,5.557459144268881,0.017102783691221927
1008.0,76.0,2324.476803507357,1899.5795289339387,90.0,9.786697010060243,5.561370882952677,0.013092383329067097
1008.0,77.0,2323.976803507357,1900.4455543377233,90.0,9.784786225389926,5.5628142255081885,0.006245267163162773
1008.0,78.0,2323.476803507357,1901.3115797415076,90.0,9.78287544071961,5.564257568063699,-0.0006018490027415516
1008.0,79.0,2322.976803507357,1902.177605145292,90.0,9.780964656049296,5.56570091061921,-0.007448965168645875
1008.0,80.0,2322.476803507357,1903.0436305490766,90.0,9.77905387137898,5.567144253174722,-0.014296081334550199
1008.0,81.0,2321.976803507357,1903.909655952861,90.0,9.777143086708666,5.568587595730234,-0.021143197500454517
1008.0,82.0,2321.476803507357,1904.7756813566455,90.0,9.775910258941009,5.570393723475687,-0.02755262647991762
1008.0,83.0,2320.976803507357,1905.6417067604298,90.0,9.780779043297295,5.575464917930626,-0.03002287078140574
1008.0,84.0,2320.476803507357,1906.5077321642143,90.0,9.785647827653577,5.580536112385564,-0.03249311508289386
