a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg,uu_avg,uv_avg,uw_avg,vv_avg,vw_avg,ww_avg
1638.0,211.0,2802.5728078915536,2331.4929584448378,90.0,7.819933202460672,4.190430895158519,0.044387914108438176,0.9205885723040994,0.08077603325801645,-0.14023368108352688,1.0429764460938034,-0.07250302646304076,0.814390799556244
1638.0,212.0,2802.0728078915536,2332.3589838486223,90.0,7.8154017807648435,4.185749265977607,0.038158908798727575,0.9331343925764524,0.07269824033637706,-0.14601328586377432,1.0321187510549068,-0.07452668123708467,0.8140171714293356
1638.0,213.0,2801.5728078915536,2333.225009252407,90.0,7.810870359069014,4.181067636796695,0.031929903489016975,0.9456802128488051,0.06462044741473764,-0.1517928906440218,1.0212610560160102,-0.07655033601112857,0.8136435433024269
1638.0,214.0,2801.0728078915536,2334.091034656191,90.0,7.806338937373185,4.176386007615783,0.02570089817930637,0.958226033121158,0.05654265449309824,-0.1575724954242692,1.0104033609771137,-0.07857399078517247,0.8132699151755184
1638.0,215.0,2800.5728078915536,2334.9570600599754,90.0,7.803431889255048,4.1753999002719535,0.017819181767947844,0.9621946713667592,0.046826019925488536,-0.15283603208891644,1.0015629519482632,-0.0780239768114339,0.8108446333871833
1638.0,216.0,2800.0728078915536,2335.82308546376,90.0,7.800930934531333,4.175337673387394,0.009524287581177515,0.9640190141056734,0.03669967494638642,-0.1454705517246647,0.993226864421924,-0.07683054565075001,0.8079064381834916
1638.0,217.0,2799.5728078915536,2336.6891108675445,90.0,7.798429979807619,4.175275446502834,0.0012293933944071828,0.9658433568445877,0.02657332996728432,-0.13810507136041295,0.9848907768955848,-0.07563711449006612,0.8049682429798
1638.0,218.0,2799.0728078915536,2337.555136271329,90.0,7.795929025083904,4.175213219618274,-0.007065500792363155,0.9676676995835019,0.016446984988182204,-0.1307395909961612,0.9765546893692456,-0.07444368332938221,0.8020300477761082
1638.0,219.0,2798.5728078915536,2338.421161675113,90.0,7.793428070360189,4.175150992733714,-0.015360394979133484,0.969492042322416,0.006320640009080097,-0.12337411063190946,0.9682186018429063,-0.07325025216869832,0.7990918525724167
1638.0,220.0,2798.0728078915536,2339.2871870788977,90.0,7.7909271156364746,4.175088765849154,-0.023655289165903814,0.9713163850613302,-0.0038057049700220107,-0.11600863026765772,0.9598825143165671,-0.07205682100801442,0.796153657368725
1638.0,221.0,2797.5728078915536,2340.153212482682,90.0,7.789313231447388,4.177224768170101,-0.030570529904921862,0.9725984903674672,-0.01185460061696921,-0.10983476957997551,0.9501757170049181,-0.07017677724624395,0.793384378667053
1638.0,222.0,2797.0728078915536,2341.0192378864667,90.0,7.788586417792929,4.181558999696554,-0.03610611719618778,0.9733383582408268,-0.017826046931761742,-0.10485252856886268,0.9390982099079594,-0.06761012088338696,0.7907840164674005
1638.0,223.0,2796.5728078915536,2341.8852632902513,90.0,7.78785960413847,4.185893231223007,-0.041641704487453704,0.9740782261141865,-0.023797493246554273,-0.09987028755774985,0.9280207028110008,-0.06504346452052998,0.7881836542677483
1638.0,224.0,2796.0728078915536,2342.7512886940353,90.0,7.78713279048401,4.1902274627494585,-0.04717729177871963,0.9748180939875462,-0.029768939561346804,-0.09488804654663702,0.9169431957140421,-0.062476808157672994,0.7855832920680957
1638.0,225.0,2795.5728078915536,2343.61731409782,90.0,7.786405976829553,4.194561694275912,-0.05271287906998555,0.9755579618609058,-0.03574038587613934,-0.08990580553552419,0.9058656886170835,-0.05991015179481601,0.7829829298684433
1638.0,226.0,2795.0728078915536,2344.4833395016044,90.0,7.785679163175093,4.198895925802365,-0.05824846636125147,0.9762978297342655,-0.04171183219093187,-0.08492356452441135,0.8947881815201248,-0.057343495431959025,0.780382567668791
1638.0,227.0,2794.5728078915536,2345.349364905389,90.0,7.784940870990582,4.203544115320254,-0.06323980679012943,0.9783759885855593,-0.047309871197415275,-0.0821516550440558,0.8832568731869842,-0.05561753425024905,0.7791166601170978
1638.0,228.0,2794.0728078915536,2346.215390309173,90.0,7.7841566646858595,4.209448136803892,-0.066054159769455,0.9858073113485918,-0.0514142809706618,-0.08822107168673154,0.8699103599091159,-0.057254353793127974,0.7831885711572435
1638.0,229.0,2793.5728078915536,2347.0814157129576,90.0,7.783372458381137,4.215352158287528,-0.06886851274878057,0.9932386341116242,-0.05551869074390832,-0.09429048832940728,0.8565638466312474,-0.05889117333600688,0.787260482197389
1638.0,230.0,2793.0728078915536,2347.947441116742,90.0,7.782588252076414,4.221256179771166,-0.07168286572810614,1.0006699568746567,-0.05962310051715483,-0.10035990497208302,0.8432173333533789,-0.0605279928788858,0.7913323932375345
1638.0,231.0,2792.5728078915536,2348.8134665205266,90.0,7.7818040457716915,4.227160201254803,-0.07449721870743171,1.0081012796376891,-0.06372751029040136,-0.10642932161475875,0.8298708200755104,-0.06216481242176472,0.7954043042776802
1638.0,232.0,2792.0728078915536,2349.679491924311,90.0,7.7810198394669685,4.233064222738441,-0.07731157168675729,1.0155326024007216,-0.06783192006364788,-0.11249873825743449,0.816524306797642,-0.06380163196464364,0.7994762153178256
1638.0,233.0,2791.5728078915536,2350.5455173280952,90.0,7.7802356331622455,4.238968244222078,-0.08012592466608287,1.0229639251637541,-0.0719363298368944,-0.11856815490011023,0.8031777935197734,-0.06543845150752255,0.8035481263579712
1638.0,234.0,2791.0728078915536,2351.4115427318798,90.0,7.782153472196945,4.246519002633714,-0.08298706025426418,1.0372936550497762,-0.06884019074842243,-0.12518881907130264,0.7887851438388566,-0.06833362908850531,0.8081087464360476
1638.0,235.0,2790.5728078915536,2352.2775681356643,90.0,7.78437153849158,4.254252731815128,-0.08585339391009615,1.0523898746161304,-0.0649439906753154,-0.13187073296788582,0.7742762567798233,-0.07136862422927732,0.8127236675183385
1638.0,236.0,2790.0728078915536,2353.143593539449,90.0,7.786589604786217,4.261986460996542,-0.08871972756592811,1.0674860941824844,-0.06104779060220836,-0.13855264686446894,0.7597673697207901,-0.07440361937004934,0.8173385886006296
1638.0,237.0,2789.5728078915536,2354.0096189432334,90.0,7.788807671080852,4.269720190177956,-0.09158606122176008,1.0825823137488384,-0.05715159052910131,-0.14523456076105212,0.7452584826617568,-0.07743861451082135,0.8219535096829205
