a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg,uu_avg,uv_avg,uw_avg,vv_avg,vw_avg,ww_avg
1512.0,65.0,2672.953607014714,2304.0,66.80000000000001,7.723025386000737,4.046637456482531,-0.012305045535946134,1.3398024594234448,0.07646073732807744,-0.0025029052772298425,0.5862685107966426,0.04778714993151677,0.7345528084272541
1512.0,66.0,2672.953607014714,2304.0,67.80000000000001,7.726346285013715,4.053035598798409,-0.01876650982524502,1.3375596854147518,0.06241777839424755,-0.006203829293949957,0.5972081371189482,0.046756884249003886,0.7371828066877241
1512.0,67.0,2672.953607014714,2304.0,68.80000000000001,7.729667184026692,4.059433741114285,-0.025227974114543906,1.335316911406059,0.04837481946041765,-0.009904753310670074,0.6081477634412538,0.045726618566491004,0.7398128049481938
1512.0,68.0,2672.953607014714,2304.0,69.80000000000001,7.732988083039669,4.065831883430162,-0.03168943840384279,1.3330741373973662,0.03433186052658775,-0.013605677327390191,0.6190873897635594,0.04469635288397812,0.7424428032086637
1512.0,69.0,2672.953607014714,2304.0,70.80000000000001,7.7363089820526465,4.072230025746039,-0.038150902693141676,1.3308313633886732,0.020288901592757858,-0.017306601344110304,0.630027016085865,0.04366608720146524,0.7450728014691336
1512.0,70.0,2672.953607014714,2304.0,71.80000000000001,7.733971858589011,4.081010145442598,-0.04545425790696305,1.3308160006372542,0.010184399610628694,-0.021901992673987795,0.6371811183766017,0.04377008536311297,0.7496609096687501
1512.0,71.0,2672.953607014714,2304.0,72.80000000000001,7.729209868349685,4.090811112588021,-0.05311842351700834,1.331755242710381,0.0017678077506569686,-0.026880727138075582,0.6427128532252375,0.04436019660082952,0.7550882078422865
1512.0,72.0,2672.953607014714,2304.0,73.80000000000001,7.724447878110358,4.100612079733445,-0.06078258912705362,1.3326944847835076,-0.0066487841093147565,-0.031859461602163366,0.6482445880738734,0.044950307838546075,0.7605155060158229
1512.0,73.0,2672.953607014714,2304.0,74.80000000000001,7.719685887871034,4.110413046878868,-0.06844675473709891,1.3336337268566343,-0.01506537596928648,-0.036838196066251154,0.6537763229225093,0.045540419076262634,0.7659428041893592
1512.0,74.0,2672.953607014714,2304.0,75.80000000000001,7.714923897631707,4.120214014024292,-0.0761109203471442,1.3345729689297612,-0.023481967829258207,-0.04181693053033894,0.659308057771145,0.04613053031397919,0.7713701023628956
