a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
756.0,1.0,2018.2384017536785,1926.0,2.8000000000000114,5.203109709579034,2.745955098212603,0.04119799205072016
756.0,2.0,2018.2384017536785,1926.0,3.8000000000000114,5.5768920106221795,2.9367333521844143,0.053712234456465016
756.0,3.0,2018.2384017536785,1926.0,4.800000000000011,5.950674311665325,3.127511606156225,0.06622647686220987
756.0,4.0,2018.2384017536785,1926.0,5.800000000000011,6.32445661270847,3.3182898601280364,0.07874071926795474
756.0,5.0,2018.2384017536785,1926.0,6.800000000000011,6.6982389137516165,3.5090681140998474,0.09125496167369959
756.0,6.0,2018.2384017536785,1926.0,7.800000000000011,7.072021214794762,3.6998463680716585,0.10376920407944445
756.0,7.0,2018.2384017536785,1926.0,8.800000000000011,7.251578247149542,3.792519250031295,0.11740735423725937
756.0,8.0,2018.2384017536785,1926.0,9.800000000000011,7.347895878637879,3.8431469725571445,0.13152717914596146
756.0,9.0,2018.2384017536785,1926.0,10.800000000000011,7.444213510126218,3.893774695082993,0.14564700405466358
756.0,10.0,2018.2384017536785,1926.0,11.800000000000011,7.540531141614555,3.9444024176088415,0.15976682896336566
756.0,11.0,2018.2384017536785,1926.0,12.800000000000011,7.636848773102894,3.99503014013469,0.17388665387206775
756.0,12.0,2018.2384017536785,1926.0,13.800000000000011,7.733166404591233,4.04565786266054,0.18800647878076987
756.0,13.0,2018.2384017536785,1926.0,14.800000000000011,7.785598678887612,4.069092396810038,0.20295966917773645
756.0,14.0,2018.2384017536785,1926.0,15.800000000000011,7.772202917396053,4.051737148395012,0.2191629078070998
756.0,15.0,2018.2384017536785,1926.0,16.80000000000001,7.7588071559044955,4.034381899979986,0.23536614643646317
756.0,16.0,2018.2384017536785,1926.0,17.80000000000001,7.745411394412935,4.017026651564961,0.25156938506582655
756.0,17.0,2018.2384017536785,1926.0,18.80000000000001,7.732015632921377,3.999671403149935,0.2677726236951899
756.0,18.0,2018.2384017536785,1926.0,19.80000000000001,7.7186198714298175,3.982316154734909,0.28397586232455324
756.0,19.0,2018.2384017536785,1926.0,20.80000000000001,7.700522515109397,3.962619315824961,0.2987149868195706
756.0,20.0,2018.2384017536785,1926.0,21.80000000000001,7.6401108053292255,3.921848162460715,0.3002770841054739
756.0,21.0,2018.2384017536785,1926.0,22.80000000000001,7.579699095549054,3.8810770090964697,0.30183918139137733
756.0,22.0,2018.2384017536785,1926.0,23.80000000000001,7.519287385768881,3.840305855732224,0.3034012786772807
756.0,23.0,2018.2384017536785,1926.0,24.80000000000001,7.45887567598871,3.7995347023679784,0.304963375963184
756.0,24.0,2018.2384017536785,1926.0,25.80000000000001,7.3984639662085385,3.7587635490037328,0.3065254732490874
756.0,25.0,2018.2384017536785,1926.0,26.80000000000001,7.338052256428366,3.717992395639487,0.3080875705349908
756.0,26.0,2018.2384017536785,1926.0,27.80000000000001,7.253301582854298,3.652022753273584,0.30283733242245214
756.0,27.0,2018.2384017536785,1926.0,28.80000000000001,7.162466168331757,3.579753488657267,0.295884010460303
756.0,28.0,2018.2384017536785,1926.0,29.80000000000001,7.071630753809214,3.507484224040949,0.2889306884981538
756.0,29.0,2018.2384017536785,1926.0,30.80000000000001,6.980795339286671,3.4352149594246324,0.2819773665360047
756.0,30.0,2018.2384017536785,1926.0,31.80000000000001,6.889959924764129,3.3629456948083156,0.2750240445738555
756.0,31.0,2018.2384017536785,1926.0,32.80000000000001,6.799124510241587,3.2906764301919984,0.2680707226117064
756.0,32.0,2018.2384017536785,1926.0,33.80000000000001,6.71530310030997,3.223959966607943,0.2613575180691242
756.0,33.0,2018.2384017536785,1926.0,34.80000000000001,6.6384956949692775,3.162796304056149,0.254884430946109
756.0,34.0,2018.2384017536785,1926.0,35.80000000000001,6.561688289628584,3.1016326415043545,0.24841134382309377
756.0,35.0,2018.2384017536785,1926.0,36.80000000000001,6.4848808842878904,3.0404689789525596,0.2419382567000785
756.0,36.0,2018.2384017536785,1926.0,37.80000000000001,6.408073478947198,2.9793053164007657,0.2354651695770633
756.0,37.0,2018.2384017536785,1926.0,38.80000000000001,6.331266073606506,2.918141653848971,0.2289920824540481
756.0,38.0,2018.2384017536785,1926.0,39.80000000000001,6.259241333100589,2.861112970421539,0.22279943000870428
756.0,39.0,2018.2384017536785,1926.0,40.80000000000001,6.2063472519337815,2.820624203491555,0.21772851627404607
756.0,40.0,2018.2384017536785,1926.0,41.80000000000001,6.153453170766974,2.7801354365615714,0.21265760253938787
756.0,41.0,2018.2384017536785,1926.0,42.80000000000001,6.100559089600166,2.739646669631588,0.2075866888047297
756.0,42.0,2018.2384017536785,1926.0,43.80000000000001,6.047665008433358,2.699157902701604,0.20251577507007146
756.0,43.0,2018.2384017536785,1926.0,44.80000000000001,5.994770927266551,2.658669135771621,0.19744486133541328
756.0,44.0,2018.2384017536785,1926.0,45.80000000000001,5.941876846099742,2.6181803688416374,0.1923739476007551
756.0,45.0,2018.2384017536785,1926.0,46.80000000000001,5.9211296065396875,2.582773128511603,0.18259574216866364
756.0,46.0,2018.2384017536785,1926.0,47.80000000000001,5.9039542382692725,2.547930502248231,0.17229450432574625
756.0,47.0,2018.2384017536785,1926.0,48.80000000000001,5.8867788699988575,2.5130878759848585,0.16199326648282888
756.0,48.0,2018.2384017536785,1926.0,49.80000000000001,5.869603501728441,2.478245249721486,0.1516920286399115
756.0,49.0,2018.2384017536785,1926.0,50.80000000000001,5.852428133458024,2.4434026234581134,0.14139079079699413
